Person,Relative,Relationship
<Anonymus 17002>,<Raymond 17001>,brother
<Georgios 125>,<Nikolaos 112>,father
<Konstantinos 64>,<Michael 5>,uncle
<Konstantinos 64>,<Michael 4>,brother
<Konstantinos 64>,<Ioannes 68>,brother
<Anonymus 276>,<Voislav 101>,son
<Zakchaios 101>,<Basileios 145>,uncle
<Zakchaios 101>,<Nikolaos 133>,father
<Zakchaios 101>,<Anna 112>,husband
<Zakchaios 101>,<Theodoros 141>,father
<Anonymus 15020>,<Raymond 15001>,father
<Anonymus 2414>,<Michael 61>,kin
<Theodoros 173>,<Aaron 101>,son
<Zoe 1>,<Romanos 3>,wife
<Zoe 1>,<Theodora 1>,sister
<Zoe 1>,<Helena 103>,daughter (second)
<Zoe 1>,<Michael 5>,mother (adoptive)
<Zoe 1>,<Basileios 2>,niece
<Zoe 1>,<Konstantinos 8>,daughter
<Zoe 1>,<Eudokia 101>,sister
<Zoe 1>,<Konstantinos 9>,wife
<Zoe 1>,<Michael 4>,wife
<Zoe 1>,<Romanos 2>,granddaughter
<Anonymae 107>,<Usama 101>,wife
<Damianos 103>,<Konstantinos 63>,nephew
<Ioannes 20113>,<Isaakios 2>,brother-in-law
<Kissiane 101>,<Nikephoros 148>,wife
<Constance 4001>,<Alice 4001>,daughter
<Constance 4001>,<Ioannes 495>,mother
<Constance 4001>,<Bohemond 17001>,mother
<Constance 4001>,<Philippos 4001>,daughter
<Constance 4001>,<Bohemond 61>,wife
<Constance 4001>,<Cecilia 4001>,sister
<Hetoum 20102>,<Theodoros 20258>,father
<Maritza 102>,<Konstantinos 134>,wife
<Yahya 101>,<Usama 101>,cousin
<Maria 63>,<Raymond 17001>,daughter
<Maria 63>,<Alexios 2>,mother
<Maria 63>,<Philippa 17001>,sister
<Maria 63>,<Manuel 1>,wife
<Maria 63>,<Agnes 17002>,sister
<Theodote 2101>,<Anonymus 2134>,wife
<Theodote 2101>,<Anonyma 2118>,daughter
<Theodote 2101>,<Anonymus 2135>,daughter (eldest)
<Theodote 2101>,<Anonyma 2110>,mother
<Theodote 2101>,<Anonyma 2111>,mother
<Theodote 2101>,<Anonymus 2137>,sister
<Theodote 2101>,<Michael 61>,mother
<Dobrana 101>,<Ioannilos 102>,daughter
<Atom 101>,<Senachereim 101>,son
<Anonymus 669>,<Ioannes 469>,father
<Joscelin 4001>,<Baldwin 52>,cousin
<Joscelin 4001>,<Geoffrey 4004>,brother
<Joscelin 4001>,<Waleran 4001>,kin
<Joscelin 4001>,<Anonyma 238>,husband
<Joscelin 4001>,<Anonyma 26113>,son
<Joscelin 4001>,<Joscelin 4002>,father
<Joscelin 4002>,<Anonyma 4011>,son
<Joscelin 4002>,<Joscelin 4001>,son
<Joscelin 4002>,<Anonymi 214>,father
<Joscelin 4002>,<Isabella 101>,father
<Joscelin 4002>,<Beatrice 4001>,husband (second)
<Joscelin 4002>,<Joscelin 4003>,father
<Joscelin 4002>,<Renaud 4005>,father-in-law
<Joscelin 4002>,<Agnes 4001>,father
<Ilghazi 4001>,<Timurtash  101>,father
<Ilghazi 4001>,<Anonymus 848>,father
<Ilghazi 4001>,<Sulayman 102>,father
<Raymond 15001>,<Anonyma 15008>,husband
<Raymond 15001>,<Anonymus 15020>,son
<Anonymi 187>,<Ioannes 459>,brother
<Odo 103>,<Tancred 61>,father
<Andronikos 108>,<Eirene 61>,son
<Andronikos 108>,<Eirene 64>,husband
<Andronikos 108>,<Anonymus 25009>,father
<Andronikos 108>,<Maria 170>,father
<Andronikos 108>,<Alexios 1>,son
<Andronikos 108>,<Ioannes 470>,father
<Andronikos 108>,<Ioannes 2>,brother
<Andronikos 108>,<Manuel 1>,uncle
<Andronikos 108>,<Anna 155>,father
<Helena 101>,<Konstantinos 62>,wife (proposed)
<Helena 101>,<Robert 61>,daughter
<Belos 17001>,<Anonymus 17033>,brother
<Basileios 145>,<Nikolaos 134>,brother
<Basileios 145>,<Zakchaios 101>,nephew
<Eirene 12102>,<Theophylaktos 12101>,mother
<Eirene 12102>,<Romanos 12102>,wife
<Eirene 12102>,<Gregorios 12104>,daughter
<Helena 103>,<Bagrat 101>,wife
<Helena 103>,<Zoe 1>,mother
<Helena 103>,<Eudokia 101>,mother
<Helena 103>,<Konstantinos 8>,wife
<Helena 103>,<Alypios 101>,daughter
<Helena 103>,<Theodora 1>,mother
<Thierry 4001>,<Henry 101>,brother
<Thierry 4001>,<Anonyma 257>,husband
<Thierry 4001>,<Fulk 4001>,son-in-law
<Nikolaos 113>,<Kalonas 101>,brother
<Nikolaos 113>,<Agape 101>,uncle
<Nikolaos 113>,<Konstantinos 7>,kin
<Anonymus 25015>,<Theodora 25002>,in-law
<Alexios 20125>,<Nikephoros 116>,son
<Alexios 109>,<Theodora 107>,son
<Alexios 109>,<Manuel 1>,cousin
<Alexios 109>,<Konstantinos 17001>,son
<Muhammad 102>,<Usama 101>,brother
<Anna 154>,<Ioannes 450>,wife
<Anna 154>,<Ioannes 2>,niece
<Helena 106>,<Maria 110>,daughter
<Anonyma 12105>,<Anonyma 12106>,granddaughter
<Anonyma 12105>,<Anonymus 12122>,daughter
<Anonyma 12105>,<Anonymus 12123>,granddaughter
<Anonyma 26112>,<Roger 4002>,mother
<Anonyma 26112>,<Tancred 61>,sister
<Baldwin 54>,<Sibylla 4001>,brother
<Baldwin 54>,<Amalric 51>,son
<Baldwin 54>,<Agnes 4001>,son
<Anonyma 25002>,<Ioannes 25002>,wife
<Anonyma 25002>,<Masud 17001>,daughter
<Alexios 17008>,<Manuel 1>,nephew
<Anonymae 25001>,<Ioannes 2>,daughter
<Alexios 17005>,<Alexios 1>,grandson
<Alexios 17005>,<Anna 62>,son
<Alexios 17005>,<Andronikos 17007>,brother
<Alexios 17005>,<Manuel 1>,cousin
<Alexios 17005>,<Nikephoros 117>,son
<Anonymus 188>,<Leon 61>,kin
<Ioannes 17012>,<Manuel 1>,relative by marriage
<Anonymus 189>,<Kutulmush 101>,father
<Anonymus 189>,<Michael 116>,brother
<Anonymus 189>,<Tughrul Beg 51>,uncle
<Alexandros 17001>,<William 51>,kin (by blood)
<Akindynos 103>,<Stanilas 101>,son
<Anonymi 12110>,<Anonyma 12138>,children
<Henry 55>,<Conrad 53>,father
<Henry 55>,<Henry 54>,father
<Henry 55>,<Anonymus 17024>,father
<Agnes 4001>,<Sibylla 4001>,mother
<Agnes 4001>,<Baldwin 54>,mother
<Agnes 4001>,<Beatrice 4001>,daughter
<Agnes 4001>,<Joscelin 4002>,daughter
<Agnes 4001>,<Amalric 51>,wife
<Agnes 4001>,<Renaud 4005>,wife
<Anonymus 195>,<Nikephoros 62>,father
<Chosrienes 11001>,<Anonymus 11001>,brother
<Chosrienes 11001>,<Anonymus 11004>,father
<Konstantinos 123>,<Nikephoros 178>,father
<Leon 164>,<Georgios 211>,son
<Konstantinos 125>,<Michael 274>,father
<Michael 181>,<Georgios 167>,son
<Anonymus 26166>,<Ridwan 4001>,son
<Leon 165>,<Georgios 211>,brother
<Leon 165>,<Eirene 146>,husband
<Prousianos 101>,<Romanos 102>,brother-in-law
<Prousianos 101>,<Anonyma 107>,brother
<Prousianos 101>,<Aaron 101>,brother
<Prousianos 101>,<Maria 102>,son
<Agnes 17001>,<Henry 17002>,daughter
<Agnes 17001>,<Stephanos 53>,wife
<Nikolaos 146>,<Anonymus 352>,son
<Nikolaos 146>,<Anonyma 145>,husband
<Leon 168>,<Kalos 103>,son
<Anonyma 2108>,<Anonymus 181>,wife
<Anonyma 2108>,<Maria 64>,mother
<Stephanos 4002>,<Robert 63>,nephew
<Stephanos 4002>,<Odo 26101>,son
<Anonyma 2131>,<Anonymus 2272>,wife
<Konstantinos 130>,<Michael 121>,son
<Maria 102>,<Prousianos 101>,mother
<Agathe 12101>,<Helena 12101>,daughter
<Agathe 12101>,<Theophano 12103>,mother
<Anonyma 12128>,<Anonymus 12188>,wife
<Anonyma 12128>,<Anonymi 12106>,mother
<Anonyma 12128>,<Anonyma 12129>,mother
<Anonymus 352>,<Ioannes 216>,father
<Anonymus 352>,<Nikolaos 146>,father
<Anonymus 352>,<Pankalos 101>,father
<Anonymus 352>,<Anonyma 145>,father-in-law
<David 108>,<Anonyma 158>,brother
<Agape 101>,<Nikolaos 113>,niece
<Agape 101>,<Konstantinos 7>,kin
